document_id,filename,full_path,bank_name,source_type,document_type,word_count
"goldman_sachs_group,_inc.,_the_2024_Q4","goldman_sachs_group,_inc.,_the_2024_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/goldman_sachs_group,_inc.,_the_2024_Q4.txt",goldman,News,News Article,3723
"charles_schwab_corporation,_the_2024_Q4","charles_schwab_corporation,_the_2024_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/charles_schwab_corporation,_the_2024_Q4.txt",charles,News,News Article,1795
morgan_stanley_2024_Q4,morgan_stanley_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/morgan_stanley_2024_Q4.txt,morgan,News,News Article,1007
discover_financial_services_2024_Q4,discover_financial_services_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/discover_financial_services_2024_Q4.txt,discover,News,News Article,1077
wells_fargo_&_company_2024_Q3,wells_fargo_&_company_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/wells_fargo_&_company_2024_Q3.txt,wells,News,News Article,749
"first_citizens_bancshares,_inc_2024_Q3","first_citizens_bancshares,_inc_2024_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/first_citizens_bancshares,_inc_2024_Q3.txt",first,News,News Article,719
synchrony_financial_2024_Q3,synchrony_financial_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/synchrony_financial_2024_Q3.txt,synchrony,News,News Article,825
jpmorgan_chase_&_co_2024_Q3,jpmorgan_chase_&_co_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/jpmorgan_chase_&_co_2024_Q3.txt,jpmorgan,News,News Article,4194
citigroup_inc_2024_Q3,citigroup_inc_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/citigroup_inc_2024_Q3.txt,citigroup,News,News Article,749
state_street_corporation_2024_Q3,state_street_corporation_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/state_street_corporation_2024_Q3.txt,state,News,News Article,375
bank_of_america_corporation_2024_Q3,bank_of_america_corporation_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/bank_of_america_corporation_2024_Q3.txt,bank,News,News Article,3631
american_express_company_2024_Q3,american_express_company_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/american_express_company_2024_Q3.txt,american,News,News Article,1555
